Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Track Duration (ms),Track Preview URL,Popularity,Added At,Playlist URI,Playlist Name,Added By
17b78jw6z41uLblIC8WBYV,Freemason,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,7mSIC7B3erQEeASiRSTI63,Freemason,2016-11-24,253746,https://p.scdn.co/mp3-preview/6189f7314de2153816790953dcaf3ceea9cab543?cid=9950ac751e34487dbbe027c4fd7f8e99,0,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
6Nhc0lko9hf8wVWgolQOrS,Blogger,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4Y3SGXh89ZGmOIENjHWR8A,Blogger,2016-09-26,218906,https://p.scdn.co/mp3-preview/8ac8ae8805a914b7465c38f13f5c91d04e660f22?cid=9950ac751e34487dbbe027c4fd7f8e99,0,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
0LewvYNHObHaJyT58LC1ue,Fuck Sars,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,5aSemWsvcNp7wSJslJ2Ihi,Fuck Sars,2020-10-11,179759,https://p.scdn.co/mp3-preview/97eaeed8a4c5f0befc5f797b6c54e986691d6f17?cid=9950ac751e34487dbbe027c4fd7f8e99,0,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
0l3Hp3XWFS31hcm53xodqK,Rich Game Music,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4BogvFSLnUKhEcu6Dszu6b,Green Times Mixtape,2014-03-09,179520,https://p.scdn.co/mp3-preview/0b5564d87c40d6152a661da397cceebfa23669d0?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
2RmVXjBF8Erj0OnLy2j7ry,Fool Is The Last To Know,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,2sMIon5V9LNiFGRiNbgD7N,Fool Is The Last To Know - Single,2017-09-08,185679,https://p.scdn.co/mp3-preview/4ed4bc00d11a94a2ac6c088936220e1f60bf999f?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
4Vzc9iLY4hrCUY4RUnJv51,Fapimso,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,5bqyghNQs508l6yo18XyQg,Fapimso,2020-04-29,159838,https://p.scdn.co/mp3-preview/64fd339bbfae84197d1df28655cf3ee3b8b35b6f?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
3IO92p1YsH5XcS8OWfX2oP,Imagine,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,3LsnxGrJUdOrtvxwPR6NZd,Rasta Flex,2015-04-10,206796,https://p.scdn.co/mp3-preview/cbb4f70e37936c4f160983d9f098434e966d776d?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
60oEy096eAxwOroN2LSSVy,Mama Stories,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,5YADEIu3jEpiZ3dvEmkxLP,Mama Stories,2018-05-13,195627,https://p.scdn.co/mp3-preview/04e97ad234199cb8efd8e25cd53fb8d20270ad1c?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
6YHBSwZkyTyyrQ9wlTGzIH,Tell Me a Lie,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,6ZFfg3kkBnOK1JKFrVsBm6,After the Storm,2016-05-06,195772,https://p.scdn.co/mp3-preview/f79ab85a613c9fe92e2383070d59fe67882cd69b?cid=9950ac751e34487dbbe027c4fd7f8e99,4,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
6rkQlWshYSVi9fjvD1ZyQa,Stinky Mouth,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,1W9Sxg1fGkaPyYplJpk5aK,Magical Year Mixtape,2015-08-21,232906,https://p.scdn.co/mp3-preview/5a9675b301c6cd356305b96fe3540f0de1538be2?cid=9950ac751e34487dbbe027c4fd7f8e99,3,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
5gJevInAsbyl9rSWBCJDKZ,Yuh Dey KLL,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,1W9Sxg1fGkaPyYplJpk5aK,Magical Year Mixtape,2015-08-21,198973,https://p.scdn.co/mp3-preview/b920e81224b257713b0a621f759b06d3bed7be20?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
4GvGwMeOF7ujLaw3wB1btR,Ghetto Star,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,63HtmdUP8Vlb1XgsMME3Bf,Ghetto Star,2017-02-07,271173,https://p.scdn.co/mp3-preview/0a3f41dc200a1cafee07f6924bd71aea1eae606f?cid=9950ac751e34487dbbe027c4fd7f8e99,0,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
7lI4f84k6hBMRG5JNN4J53,My Maseratti (Radio Edit),42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4BogvFSLnUKhEcu6Dszu6b,Green Times Mixtape,2014-03-09,222693,https://p.scdn.co/mp3-preview/7e492c3a79c901a54b93af0b535e966e0333c9c1?cid=9950ac751e34487dbbe027c4fd7f8e99,3,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
2EUxnJrLReX5g31vZtcAGm,Am OK,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,6kqa4hXkm702LCHINVgc9N,Am OK,2016-03-28,193053,https://p.scdn.co/mp3-preview/38866c25100d8bdb253dd7f31f0c62de9d81bc51?cid=9950ac751e34487dbbe027c4fd7f8e99,0,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
5PHFDGZNUSRJOp8INsrcgc,Gangsta No Deh Call Police,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,6fIPx7XEfCVCynbl1dmAb5,Gangsta No Deh Call Police,2017-01-31,235907,https://p.scdn.co/mp3-preview/ab7c6511876f7e962ece49030f7ab2df87d8a8db?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
3q7dppg87IxAgmI7EhWVEI,Handle It,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,3FyHzzRnW4EMfI4pGvJpxZ,Handle It,2017-10-30,213653,https://p.scdn.co/mp3-preview/3327aa15dac69106d727f22a91350c64daa6c520?cid=9950ac751e34487dbbe027c4fd7f8e99,0,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
5KkLPcuz2jJrjyXQkXcQZQ,Future Dollar,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4ZSeLpbBGplZ2lwMAs9mbs,Future Dollar,2020-04-11,233065,https://p.scdn.co/mp3-preview/adde039c50846f7f67f0e487c66ab30b1bb38a78?cid=9950ac751e34487dbbe027c4fd7f8e99,0,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
3b50Sn73DEv9TQq3pRfVvS,First Stone,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,03UdPEkreODTnlbLhKGP7W,First Stone,2016-05-30,344786,https://p.scdn.co/mp3-preview/7de67987cad57af2c9bfcba694e159a2ff600a7e?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
5sq6FKhtmutQUZw4EU7NLS,Brain Wire - Freestyle,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,6zb4HRQ3qH2ZKPNz7gQB8y,Brain Wire (Freestyle),2020-10-27,129479,https://p.scdn.co/mp3-preview/810228a986495059148f689238b791318ec96feb?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
1XtUJ8IybvAkzxHfeXKLEh,Commander Bush,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,3XmCxMccAQyDxjrzzRcrId,Commander Bush,2018-03-26,193491,https://p.scdn.co/mp3-preview/b815f6a6a03f7afee1e39ab6ba002298d74ca95a?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
45MVT2MuMjKk1GWrvwBZwR,Hear We Out,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,1W9Sxg1fGkaPyYplJpk5aK,Magical Year Mixtape,2015-08-21,238960,https://p.scdn.co/mp3-preview/53179e59ddab8682c3df50331ade611654199cca?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
50EjDc7Fa90x8QVK8eK7z9,Just Make da Money,42q0rYXtR561ypg1Fcw1PI,Shatta Wale,4OjEurhlW6UJLSWP8cwzD8,Cloud 9 (Hip-Hop Mixtape),2017-10-17,208813,https://p.scdn.co/mp3-preview/1e2e1bfea9293643b69085edfd4a7a73ddad5853?cid=9950ac751e34487dbbe027c4fd7f8e99,2,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
3L30R73c7QQQbwiDjuMc46,Mafia,3OxWPaaV5PWswvAI2faH2p,Shatta Waley,0UwTsrM9uWO4BIYjtbZDwQ,Mafia,2022-09-14,196347,https://p.scdn.co/mp3-preview/a21e4fa2bf399d3045b28304299558f6ca867da5?cid=9950ac751e34487dbbe027c4fd7f8e99,1,2023-01-28 23:23:58,3rxpOKy1jyGfMCrU7dEVm3,CS121 23wi Tunes,31ob7bkjxbrhdhip46xosbctdiha
