album_uri,album_name,release_date
0WGnkp386fyXfTvKwTIVRO,Tap Root Manuscript,1905-05-23
3j70PDKieTWQAwas3bPHRZ,Eye To The Telescope,2005-01-01
0bJMFJ2XQwpO5nKTrYdUtX,The Rolling Stones,1964-04-16
1IZfi926sBgCgvIwIS2rcS,Everything Must Go,2003-06-09
7ahctQBwcSxDdP0fRAPo2p,Flicker (Deluxe),2017-10-20
27fQZbq57JrQpffj4dh79H,Kung Fu Fighter,1974-01-01
20RMokVwJ2wjQ0s8FOdOFC,No Strings Attached,2000-03-21
4LH4d3cOWNNsVw41Gqt2kv,The Dark Side of the Moon,1973-03-01
7fjiLZzAXNUXUazn89VBMc,The Definitive Collection,1905-06-24
2zbTrm2pIAErzFSopinkbN,Cleopatra,2016-04-08
0sf5wpC6tGzU0IMD0EQUNO,Moving,1905-05-16
13f845bYjx8MUVF2bl1uJ0,Summer Days (And Summer Nights) [Remastered],1965-07-05
4L4tcx3itXbtx5kuchKhFE,Begin to Hope,2006-06-13
6ozp33PI3p9AdddB6ZL3xQ,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],1995-10-02
7p1fX8aUySrBdx4WSYspOu,Midnight Memories (Deluxe),2013-11-25
7qfrZ8W7EbA3Hm5TqrkMtX,Up All Night,2012-05-25
1CwXS6MAz8Wo7K4TzW9iuR,Save Me San Francisco (Golden Gate Edition),2010-12-01
3BYCjGZjrTkilIY7U25fNt,If I Can Dream: Elvis Presley with the Royal Philharmonic Orchestra,2015-10-30
0G0vIGvVlJ3MtXunjqrbMY,Native (Deluxe),2013-03-26
2pLAOZiilrhOrTQNqrF8qr,Waking Up,2009-01-01
4piJq7R3gjUOxnYs6lDCTg,Hot Fuss,1905-06-26
3gO8QwtARbXWdOtFcykK2P,Rock City Nights,1905-06-20
6EuKoCk8R63UfuPLa9qr7U,Waking Up (Deluxe),2009-01-01
5GHLXH6qgXR4Gq10bmFfEo,ZONKEY,2016-11-11
0nshkyiazdyELKNJuNldoa,Live in Buffalo July 4th 2004,2004-11-23
3MXDonOIzrIrCh0HvlACyj,Crazy Love,2009-10-06
3ZZ8jN93SBl4v8lF79eVzS,Home,2012-01-01
4Yf5LJfqpjgl1a4TBiCi07,To Be Loved,2013-04-11
1Xsprdt1q9rOzTic7b9zYM,Continuum,2006-09-11
2sRnJq6dfXdqhIflBk0ve1,All the Little Lights,2012-06-29
4vUClKTFaDWnsHE8rK52GY,All That We Needed,2005-01-01
6yrGbuas70uRMwq9Ct5tsu,The World From The Side Of The Moon (Deluxe),2012-01-01
7I4Vx91kradxSJNwg1ycbq,Global Warming (Deluxe Version),2012-11-19
5Sdmly0VRVw0wIow5eMHAW,Sing (Original Motion Picture Soundtrack / Deluxe),2016-12-09
0V4laGZGshNCpurfIdUhHv,Oh What A Life,2014-01-01
58LEKVWXpcYbeevCcl2boB,Cold Chisel,1905-05-31
4nvgSs9EQXS5AIwprqq8OU,Upside Down,2006-02-24
0kA2VAfzhFIIv0jEHdFKEN,The Lady Killer,2010-11-09
5zseibu9WEsPaZmkJUMkz1,California 37,2012-04-17
0UJhhj5bn5AGAjryFnhueP,Bleed American,2001-07-17
0Cq6VQQvxlCkKdu4tvHCCO,Back In The World (Live),2003-05-17
0aJ2SqX6w8pJsaFaTiBUgJ,Brother Bear,2003-01-01
6mcMKGEgukjyiR5IKElQ2E,Wanted on Voyage (Expanded Edition),2014-06-30
6qykGE5x584duyLVYcnojE,Disney Summer Songs,2021-05-28
0ZhCjeu9xZI5NAsrWnr8wv,Grinning Streak,2013-01-01
4371FJEyPOmAcfcKlXurHW,Wonders Of The Younger,2010-01-01
75kN1qUWvE10QcnpE6nEsM,Wrecking Ball,2012-03-06
77dNyQA0z8dV33M4so4eRY,The Essential Michael Jackson,2005-07-19
71eRIPUemoGlRpNryhlZjU,Up From Below (10th Anniversary Edition) [2019 - Remaster],2009-07-07
3mNoFlD1wsoXfkljfFzExT,TALKING IS HARD,2014-12-02
4nKfZbCALT9H9LfedtDwnZ,August And Everything After,1993-01-01
3DmfyjtfDRxMUCdoTgEWoz,Meet Glen Campbell,2008-01-01
0Ug5scDXUIgGN8yanDBLQw,Day and Age (Bonus Tracks),2008-11-18
7FPMykszXPYE2a74RlLinr,Across The Universe,2007-01-01
1hKnmfw153bNCqN37f7Qx3,Naturally Sweetened,2012-07-02
5LZltOhdqFBvtta2BNvWhS,Easy Wonderful (Deluxe Version),2010-01-01
2oSXXINsWGuEsc4udgWxh8,Chicago V (Expanded and Remastered),1972-07-10
5f2Y6TaPOetP60aL6NGAHK,Live At Soundstage,2007-10-23
2ww2PXKiHk7rNv26rjVJ5z,Onka's Big Moka,1905-06-22
4KPcNR8nJkhzG4YVhd9R3j,Flamingo (Deluxe Edition),2010-01-01
1688ZIcsPfE49MucDVRCyU,Hits from Yesterday and the Day Before,2011-09-23
3J72FiClHtOI1WmbIJEP03,All Of You,2011-01-01
4SvTjA2cwASS1cWzEIG0WD,The Guest (Expanded Edition),1905-06-24
2EfTpcD9TDUdHpqOMQuREQ,Friends for Life,2013-09-23
3YA5DdB3wSz4pdfEXoMyRd,The Lion King,1994-01-01
2NeJdEWras0uSuzLPlJZk5,Taking The Long Way,2006-05-23
0SeRWS3scHWplJhMppd6rJ,Under the Table and Dreaming (Expanded Edition),1994-09-27
3i67sGIVw8EBlgfSRv3Lj2,Nothing But The Best (Remastered),2008-01-01
6YNQ1O9C5AVtOGEPIIwkAG,Traveler,2012-06-26
3VfBy3QX5peTfME0UxzZ2P,Have A Nice Day,2005-01-01
4Uq1OUEUqFAjRz82Co15Mj,Made For Working,2003-05-15
2OICen81GDKy8Mds7OdX4I,Tea and Sympathy,2005-01-01
5XEF3r3rrj8lxoEWKSBnke,Sounds Like This,1905-06-30
2BAYuyT9kP620VgwpowIQK,Last Night On Earth,2011-01-01
6fQWBLapwkfQviV1N4rStR,All The Time In The World,2002-09-27
3NDwrDoBKwmBQYz4emr9P7,The Jazz Singer (Original Songs From The Motion Picture),1980-11-10
1tYlx93ShW1M8TiAVDJSKc,Gold,2001-01-01
0CPkmxD28cYY05UciKLB4i,Just a Group of Guys,2013-10-01
0vgYFD6f7a55yOFthYVT7V,Yesterdays Rock Hits,2021-08-12
0PoRrBKXrrsRTE4tyq45Xz,Back In The U.S.,2003-05-17
0leVOEw8L2TnAfLGwkFnab,Go Farther In Lightness,2017-08-18
