artist_uri,artist_name
5mgr0FFpvy267wKVAYg8qp,Lit
6GI52t8N5F02MxU0g5U69P,Santana
4ylR3zwA0zaapAu94fktwa,Macy Gray
2mpeljBig2IXLXRAFO9AAs,Dido
7r8RF1tN2A4CiGEplkp1oP,Ginuwine
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam
2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine
0kJMPTXq7h3ztpDukSx5iD,Pras
09hVIj6vWgoCDtT03h8ZCa,A Tribe Called Quest
4S9EykWXhStSc15wEx8QFK,Celine Dion
2WKdxPFRD7IqZvlIAvhMgY,Fugees
3NRFinRTEqUCfaTTZmk8ek,Savage Garden
0dlOr0VIysztGWvU1dpjmP,Natalie Imbruglia
4iSKnRZAxkmqNok6tv10Se,Crazy Town
3g2kUQ6tHLLbmkV7T4GPtL,Fiona Apple
1XgFuvRd7r5g0h844A5ZUQ,Take That
0nyc9SZGLITSOJASmTZsnZ,LEN
2PSiyldxmJze7xiqbz658m,Spin Doctors
2zrZfs23sjuHDv4E6YRmNf,Kris Kross
4P0dddbxPil35MNN9G2MEX,Cypress Hill
7HLvzuM9p11k9lUQfSM4Rq,Warrant
6J7biCazzYhU3gM9j1wfid,Jamiroquai
4Eqd24yS5YcxI8b6Xfuwr8,Eve 6
2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill
64tNsm6TnZe2zpcMVMOoHL,Alice In Chains
3RNrq3jvMZxD9ZyoOZbQOD,Korn
20qISvAhX20dpIbOOzGK3q,Nas
3X458ddYA2YcVWuVIGGOYe,Toni Braxton
5MspMQqdVbdwP6ax3GXqum,Annie Lennox
3KEb1kbIZN5jumsjFEWgSW,Tal Bachman
02da1vDJ2hWqfK7aJL6SJm,Soul Asylum
0EyuKHE1AeE9lWUF8mzKVp,Fuel
0K7VN4aHxHcEb7PqkfoIVA,Shawn Colvin
5Z1CCuBsyhEHngq3U5IraY,Westlife
6A43Djmhbe9100UwnI7epV,CAKE
4JbmXqez7WvTggoxn3UpVT,Ghost Town DJs
7aBzpmFXB4WWpPl2F7RjBe,Wyclef Jean
4NgNsOXSwIzXlUIJcpnNUp,Sarah McLachlan
0urTpYCsixqZwgNTkPJOJ4,Aaliyah
6ogn9necmbUdCppmNnGOdi,Alanis Morissette
5spEJXLwD1sKUdC2bnOHPg,Bone Thugs-N-Harmony
3YcBF2ttyueytpXtEzn1Za,Incubus
23zg3TcAtWQy7J6upgbUnj,Usher
0XKOBt59crntr7HQXXO8Yz,Brooks and Dunn
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD
1McMsnEElThX1knmY4oliG,Olivia Rodrigo
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen
4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio
3TVXtAsR1Inumwj472S9r4,Drake
6AgTAQt8XS6jRWi4sX7w49,Polo G
7v4imS0moSyGdXyLgVTIV7,Nat King Cole
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat
391oLRVmoTkumiN79HkTWu,Darlene Love
26AHtbjWKiwYzsoGoUZq53,Pentatonix
4sj6D0zlMOl25nprDJBiU9,Andy Williams
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby
4TnGh5PKbSjpYqpIdlW5nz,MONSTA X
1sBkRIssrMs1AbVkOJbc7a,Rick Ross
57LYzLEk2LcFghVwuWbcuS,Summer Walker
0MHgLfmQdutffmvWe5XBTN,Burl Ives
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood
4cPHsZM98sKzmV26wlwD2W,Brenda Lee
6KImCVD70vtIoJWnq6nGn3,Harry Styles
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
38EmEgXkgK51MT2tPY0EoC,Bobby Helms
45TgXXqMDdF8BkjA83OM7z,Rod Wave
0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke
5ixB75BQR3ADoWQkcHQJTs,Gene Autry
5f7VJjfbwm532GiveGC0ZK,Lil Baby
718COspgdWOnwOFpJHRZHS,Luke Combs
699OTQXzgjhIYAHMy9RyPD,Playboi Carti
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
3bcLBxvaI7GsBzGp3WHnwQ,Nickel Creek
3Z1tibPKhUYWCno0IYicCN,John Parr
2utNxkLhreF1oIfO8kQT3q,Manfred Mann's Earth Band
7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter
0fYPQBOx0vsRMmjUba9HgF,Modern English
6mMtnxEQkYoY5FfJIQ9Rhb,Runtown
4AN8jBgYwV1ieMsX1Ntxwc,Bisa Kdei
3mUnqlNBdoohi6s287lxel,E.L
42q0rYXtR561ypg1Fcw1PI,Shatta Wale
5N47dnIfPuGH8kIHpf8gZK,Duncan Mighty
2hKQc001G7ggs3ZyxMdkGq,Patoranking
1PB3wzj7smUyd1WOTAZqOU,Euforbia
62nJsaKqTjBj5aHPE1RyqZ,Charmaine D'Avis
51lfmojViPJ0XrAghn70IC,Giulia De Serio
1m8n33vsOT7I7sBgn1s4sz,Adam Waldau
4nhyKupGKrTJj8f8whWa8L,Mellow Mountain
2VD5PP13OpMEyul7NfnLa2,Danoa
0tMQJ9EVT0vfsG67K867kR,Secret Medicine
6oMeZudDfeCsLbPHmZFt1x,On Dunes
5gV1FzhRvG4WhQXku1tUav,Setareha
4lOnTI7pZfZeLAQ4z2idCd,Amel Scott
2BFpVYblz5isZ4eTnMXUQI,Peaceful Village
2qZD20bVk0hgogpaDPbxmG,Lake Melville
5WSATrMjcuhKibg0jp4uHI,Arush Mandal
6gbF9RxLqZUcMD39LLySqh,Harvey Lanza
54kLR6UglFWK1l2EkHmTmX,Sizmara
7E9YFx8NvGyjVR7WKZfaZo,Elsa Whage
5b9r8wJcTcjRrOECClHYkO,Rizzolo
227rzkBWqh9SVDdgzPrw38,Luna Novina
0v5fZ2O6PA8HBHeiIALNx9,Ezechiel Almonte
6SWtPjGME9m6Slzy5KmEWl,Alva Adler
06r7F3mEYRJxjksrVsurYJ,Sabrina McGregor
6sXYZyjQRKE4ID1x9Y7ZiC,Alcine Sala
2LQloGA6q2wNTNovie8OpO,Lior Freudenthal
2DLiGfmS8hciTINAkqY2XG,Richter Gravitas
6UGfKivLtHEJnrNdPcZHZh,Pearl Melendez
2EvTWBcDR6yBKnXj4aCgQp,Tine Mydland
3GrOqlDYHDtloOS3v1cnvD,Spirit Minds
0RAYCVLRp2O9D8prY8XPFc,Hema
0tdUnUmJpBYAnf128MpI23,Gjenklang
3eZTGNMGlHLHDZ5tSMsM2K,Ella Wass
4exM1DAqbTjDfgaj98AGiO,Marcelo Salvius
518pvehpCn4yp3oJJbr6zA,Huma
3qck56pCDgsvfDR5WK15SB,Hrothgar Tarek
